ma_n,pct,final_equity,total_return,cagr,mdd,profit_factor,win_rate,n_trades,n_wins,avg_pnl
120,0.3,159998463.6929939,0.5999846369299391,0.07731861749315794,-0.7173726656129125,1.0479360966985818,0.4069069069069069,5994,2439,10009.753702534854
120,0.25,159998463.6929939,0.5999846369299391,0.07731861749315794,-0.7173726656129125,1.0479360966985818,0.4069069069069069,5994,2439,10009.753702534854
120,0.2,159998463.6929939,0.5999846369299391,0.07731861749315794,-0.7173726656129125,1.0479360966985818,0.4069069069069069,5994,2439,10009.753702534854
120,0.15,159998463.6929939,0.5999846369299391,0.07731861749315794,-0.7173726656129125,1.0479360966985818,0.4069069069069069,5994,2439,10009.753702534854
120,0.1,159998463.6929939,0.5999846369299391,0.07731861749315794,-0.7173726656129125,1.0479360966985818,0.4069069069069069,5994,2439,10009.753702534854
120,0.05,159998463.6929939,0.5999846369299391,0.07731861749315794,-0.7173726656129125,1.0479360966985818,0.4069069069069069,5994,2439,10009.753702534854
60,0.3,149742709.1554941,0.497427091554941,0.06606885230261295,-0.4781691740532231,1.0376320381067736,0.4202995008319468,6010,2526,8276.65709741998
100,0.3,146644642.56309503,0.4664464256309504,0.06254301492943282,-0.6303239652968174,1.042932529177335,0.39802896218825423,4972,1979,9381.464715023134
30,0.3,146569899.5929454,0.46569899592945396,0.062457180183767,-0.46298147108810506,1.0403506043923099,0.4235403151065802,4316,1828,10790.060146650925
100,0.2,146190013.62829506,0.4619001362829507,0.06202034932234812,-0.6303239652968174,1.0424962984042756,0.3978689183755529,4974,1979,9286.291441153007
100,0.15,146190013.62829506,0.4619001362829507,0.06202034932234812,-0.6303239652968174,1.0424962984042756,0.3978689183755529,4974,1979,9286.291441153007
100,0.1,146190013.62829506,0.4619001362829507,0.06202034932234812,-0.6303239652968174,1.0424962984042756,0.3978689183755529,4974,1979,9286.291441153007
100,0.05,146190013.62829506,0.4619001362829507,0.06202034932234812,-0.6303239652968174,1.0424962984042756,0.3978689183755529,4974,1979,9286.291441153007
100,0.25,146190013.62829506,0.4619001362829507,0.06202034932234812,-0.6303239652968174,1.0424962984042756,0.3978689183755529,4974,1979,9286.291441153007
40,0.3,134327193.4180951,0.34327193418095114,0.04787346115419511,-0.5383125366470354,1.0284958341027468,0.4280203045685279,4925,2108,6969.98851128835
10,0.25,131094554.98454762,0.31094554984547607,0.04383642808752097,-0.37743343837842586,1.0365124638584537,0.4351272423863162,2397,1043,12972.279926803347
60,0.15,127799180.81234442,0.27799180812344426,0.0396338802173446,-0.4457080242454508,1.0221707652049035,0.4129273504273504,5616,2319,4949.996583394662
60,0.1,127799180.81234442,0.27799180812344426,0.0396338802173446,-0.4457080242454508,1.0221707652049035,0.4129273504273504,5616,2319,4949.996583394662
60,0.05,127799180.81234442,0.27799180812344426,0.0396338802173446,-0.4457080242454508,1.0221707652049035,0.4129273504273504,5616,2319,4949.996583394662
60,0.2,127643543.97384447,0.27643543973844475,0.039433152797862414,-0.4457080242454508,1.0220470088206381,0.4127917334758596,5613,2317,4924.91430141537
60,0.25,127100200.1289444,0.27100200128944407,0.038730774695881376,-0.4457080242454508,1.0218029184679167,0.4122617763394462,5562,2293,4872.384057703057
10,0.2,123306523.13744669,0.23306523137446677,0.03375503534901103,-0.45992799957975855,1.020007399787595,0.4280494659921304,3558,1523,6550.456193773663
80,0.3,121387101.86694506,0.21387101866945057,0.031188284214623163,-0.5722892000397193,1.0194551308751405,0.4055061063961913,4831,1959,4427.054826525576
80,0.2,117471796.35719484,0.17471796357194846,0.025844822139492685,-0.5903330641721046,1.0157537085906667,0.405001024800164,4879,1976,3581.019954333849
80,0.05,117471796.35719484,0.17471796357194846,0.025844822139492685,-0.5903330641721046,1.0157537085906667,0.405001024800164,4879,1976,3581.019954333849
80,0.25,117471796.35719484,0.17471796357194846,0.025844822139492685,-0.5903330641721046,1.0157537085906667,0.405001024800164,4879,1976,3581.019954333849
80,0.15,117471796.35719484,0.17471796357194846,0.025844822139492685,-0.5903330641721046,1.0157537085906667,0.405001024800164,4879,1976,3581.019954333849
80,0.1,117471796.35719484,0.17471796357194846,0.025844822139492685,-0.5903330641721046,1.0157537085906667,0.405001024800164,4879,1976,3581.019954333849
40,0.25,105991650.6797939,0.05991650679793903,0.009263444227279427,-0.5840038119287395,1.004174628874494,0.41940373926225366,5937,2490,1009.2051001842503
10,0.05,104982059.22704533,0.04982059227045332,0.007733959336116092,-0.5306980694472953,1.0034051018043446,0.4279927081223415,4937,2113,1009.1268436389153
10,0.1,102258814.67334536,0.022588146733453662,0.0035457597547878805,-0.5399066693680051,1.0015462328869522,0.427379983726607,4916,2101,459.4822362378674
30,0.25,92609506.74749449,-0.07390493252505514,-0.012092582773474247,-0.6160571874855649,0.994502236000639,0.4221841704718417,5256,2219,-1406.1060221661928
10,0.15,91973816.6857952,-0.08026183314204793,-0.013170246414011544,-0.6143396052250046,0.9945967538122762,0.43041079092581236,4893,2106,-1640.3399375035353
30,0.15,88073105.41589409,-0.11926894584105907,-0.019923720944521217,-0.637456788599943,0.9918261693722115,0.4216804979253112,5784,2439,-2062.0495477361533
30,0.2,87375774.1317944,-0.12624225868205607,-0.021157469084540748,-0.635536117750996,0.9910519208767824,0.42273790250044974,5559,2350,-2270.9526656243215
40,0.2,84492547.17964363,-0.1550745282035637,-0.02634823906425099,-0.5973013105727295,0.9897378748801225,0.4168651738923297,6297,2625,-2462.673149175222
40,0.15,83408268.77199352,-0.1659173122800648,-0.028338924485049377,-0.5912092694922266,0.9891568322426163,0.4164974222777691,6401,2666,-2592.0529960953722
40,0.1,82402348.13439354,-0.17597651865606456,-0.03020531866011955,-0.5912092694922266,0.988507221460051,0.4163934426229508,6405,2667,-2747.4866300712647
40,0.05,82402348.13439354,-0.17597651865606456,-0.03020531866011955,-0.5912092694922266,0.988507221460051,0.4163934426229508,6405,2667,-2747.4866300712647
20,0.15,76775535.24854457,-0.23224464751455431,-0.0410136441729676,-0.6135601296122556,0.9842310502707513,0.4176360225140713,5330,2226,-4357.310459935352
20,0.25,74435413.1903457,-0.255645868096543,-0.04570595739399885,-0.6440761367542466,0.9802736252959153,0.41267281105990783,4340,1791,-5890.457790242927
