ma_n,pct,final_equity,total_return,cagr,mdd,profit_factor,win_rate,n_trades,n_wins,n_losses,avg_pnl,avg_win,avg_loss,payoff_ratio
120,0.3,11903410.930249983,0.19034109302499824,0.02799472088460564,-0.2554549283346194,1.4509461978099412,0.6,15,9,6,126894.06201666556,680481.9795277765,-703487.8142500008,0.9672974652066274
30,0.2,11866996.449749982,0.18669964497499825,0.027495753006305357,-0.3384768004446944,1.3365918365879916,0.5882352941176471,17,10,7,109823.32057352836,741376.3325249987,-792395.2679285721,0.9356142856115941
40,0.15,11839000.184249947,0.1839000184249946,0.027111258496748558,-0.5420440326362932,1.1522075533429064,0.5370370370370371,54,29,25,34055.558967591605,480040.95142241265,-483287.4962800008,0.993282373571471
120,0.1,11554336.785999676,0.1554336785999677,0.023157678973389162,-0.4975705570475164,1.0387712229928299,0.5151515151515151,363,187,176,4281.919520660265,222696.77523128258,-227783.86467187584,0.9776670334050164
80,0.25,11530821.36099998,0.15308213609999788,0.022827429686920198,-0.3384768004446944,1.2535738898756428,0.5909090909090909,22,13,9,69582.78913636268,582138.826903845,-670775.932083334,0.8678588468369834
40,0.25,11515161.702749982,0.1515161702749983,0.02260719181384263,-0.3384768004446944,1.2625109769356357,0.5882352941176471,17,10,7,89127.15898529309,728696.4925749988,-824543.3175714293,0.883757683854945
60,0.15,11467953.512499925,0.14679535124999243,0.021941725840703308,-0.4975705570475164,1.1005051177933736,0.5301204819277109,83,44,39,17686.186897589454,365311.6443352262,-374506.63687820587,0.9754477180441264
120,0.25,11445546.64349997,0.1445546643499971,0.021625062341940504,-0.3778290308750005,1.2135094238283195,0.5666666666666667,30,17,13,48184.88811666568,483291.65138235176,-520800.87923076993,0.9279777946922443
60,0.25,11379559.801999982,0.13795598019999833,0.0206894679043228,-0.3384768004446944,1.2335305896752586,0.5555555555555556,18,10,8,76642.21122222125,728696.4925749988,-738425.6404687506,0.9868244717402069
120,0.15,11155217.460749844,0.11552174607498444,0.017474102787651713,-0.4527203784250006,1.0488814495879624,0.5082872928176796,181,92,89,6382.416910220133,269437.62720923824,-265539.82294943894,1.0146787936231376
20,0.15,11029875.401499974,0.10298754014999734,0.01565388190469208,-0.4301803765725408,1.114946495056151,0.5714285714285714,28,16,12,36781.264339284775,624342.6390937489,-746633.9020000007,0.8362098712921132
40,0.2,10670290.202999977,0.06702902029999769,0.010333613159048127,-0.4527203784250006,1.0798287237895388,0.5652173913043478,23,13,10,29143.052304346842,697453.4209615372,-839660.4269500006,0.8306374798381067
60,0.2,10644634.030749973,0.06446340307499732,0.009948277199128386,-0.4527203784250006,1.076202727659176,0.5666666666666667,30,17,13,21487.8010249991,535535.0234411753,-650727.7975192313,0.8229785564452522
30,0.3,10643235.05499999,0.0643235054999991,0.009927243197799696,-0.2554549283346194,1.2412019833173,0.5714285714285714,7,4,3,91890.72214285577,827506.2823124984,-888930.0247500011,0.930901487487975
20,0.25,10643235.05499999,0.0643235054999991,0.009927243197799696,-0.2554549283346194,1.2412019833173,0.5714285714285714,7,4,3,91890.72214285577,827506.2823124984,-888930.0247500011,0.930901487487975
20,0.3,10506210.071499996,0.05062100714999951,0.007855669254979158,-0.19400458335000015,1.260926862014776,0.5,4,2,2,126552.51787499897,1223127.9524999987,-970022.9167500008,1.260926862014776
60,0.3,10352534.592749983,0.03525345927499823,0.005505143718238514,-0.3778290308750005,1.0610787615463346,0.5625,16,9,7,22033.412046873942,680481.9795277765,-824543.3175714293,0.8252834812027048
10,0.2,10314751.461249992,0.03147514612499913,0.004922741842140921,-0.2554549283346194,1.0982837935621421,0.5,8,4,4,39343.93265624903,879306.791999999,-800618.9266875009,1.0982837935621421
10,0.1,10258542.442249967,0.025854244224996714,0.004052986282477411,-0.43642058284278606,1.0244543750500004,0.46875,32,15,17,8079.451320311462,722065.5760166656,-621908.3057647068,1.1610482917233338
10,0.15,10131742.411749987,0.013174241174998658,0.002076109074223176,-0.3384768004446944,1.023427330170978,0.46153846153846156,13,6,7,10134.031673075919,959198.6776666656,-803349.9506071439,1.193998551866141
80,0.15,10073704.699499914,0.007370469949991465,0.001164317960653527,-0.5219714252556104,1.0044614434216752,0.5,100,50,50,737.0469949991442,331881.509409999,-330407.4154200007,1.0044614434216754
30,0.25,9866113.22824999,-0.01338867717500103,-0.0021336191843012164,-0.3384768004446944,0.9737906851216108,0.5454545454545454,11,6,5,-12171.524704546413,829079.8633749988,-1021673.1904000007,0.8114922376013424
20,0.2,9854377.703999989,-0.014562229600001086,-0.00232179575646263,-0.3384768004446944,0.9684682461190827,0.5,10,5,5,-14562.229600001127,894530.4478499986,-923654.9070500009,0.9684682461190827
10,0.3,9376170.166749999,-0.06238298332500014,-0.010155073759219535,-0.062382983325000106,0.0,0.0,1,0,1,-623829.8332500011,0.0,-623829.8332500011,0.0
10,0.25,9319260.963999998,-0.06807390360000021,-0.011109528506400568,-0.19400458335000015,0.7250351884488261,0.25,4,1,3,-170184.75900000054,1794992.4299999997,-825243.8220000006,2.175105565346478
40,0.3,9141330.55174999,-0.08586694482500101,-0.014125674471728855,-0.3778290308750005,0.8319091748088587,0.5454545454545454,11,6,5,-78060.85893181915,708282.7506249988,-1021673.1904000007,0.693257645674049
60,0.05,9047930.055999668,-0.09520699440003322,-0.015728755478487066,-0.6419641283750022,0.9786157732731297,0.5,384,192,192,-2479.348812500864,226927.06043098876,-231885.75805599024,0.9786157732731297
100,0.05,5591579.3294995725,-0.4408420670500427,-0.08800102911548058,-0.698196087961769,0.9177657699470362,0.4852941176470588,476,231,245,-9261.387963236191,212985.61650649252,-218808.56360612318,0.973387937822614
80,0.05,5087762.251999607,-0.4912237748000393,-0.10154511089835294,-0.7003671040750381,0.9033890475955546,0.4885844748858447,438,214,224,-11215.154675799984,214641.68168341025,-226989.09655468818,0.9456034890719824
